datetime,tempmax,tempmin,temp,dew,humidity,precip,preciptype,windgust,windspeed,wildfire
8/23/2018,77.4,56,64.1,53.1,69.5,0,,12.8,9.4,1
8/24/2018,80.4,53.6,64.2,51.8,66.5,0,,12.8,6.9,1
8/25/2018,90,52.9,68.3,48.5,55.3,0,,11.4,11.4,1
8/26/2018,88.1,51.3,66.8,47.5,54.8,0,,8.1,8.1,1
8/27/2018,79.6,53.1,64.2,51.2,65.8,0,,12.8,9.6,1
8/28/2018,75.3,54,63.7,53,69.9,0,,18.9,12.7,1
8/29/2018,78.6,53.5,64.1,50.8,64.6,0,,15,12,1
8/30/2018,79.4,50.9,63.9,49.2,61.9,0,,19.7,14.4,1
8/31/2018,82.8,52.7,65.7,47.1,56.5,0,,23,11.4,1
9/1/2018,95,53.3,70.1,44.9,47.2,0,,16.1,10.3,1
9/2/2018,100.1,53.8,73.5,45.3,44.6,0,,16.1,10.3,1
9/3/2018,98.1,53,71.9,47.7,49.9,0,,11.4,9.2,1
9/4/2018,93.8,51.1,69.3,49.5,56.8,0,,13.9,13.9,1
9/5/2018,88.1,51.8,66.8,47.5,55.5,0,,18.9,14.3,1
9/6/2018,92.9,50.3,68,43.3,50.5,0,,15,11.8,1
9/7/2018,97.1,53.1,71.4,40.7,39.9,0,,18.3,12.8,1
9/8/2018,85.1,54,68.6,41.7,43.1,0,,21.4,10.1,1
9/9/2018,92,52.2,67.4,41.5,46.2,0,,19.7,11,1
9/10/2018,90,49.1,67.5,42.6,46,0,,20.9,12.2,1
9/11/2018,78.5,54,65.3,40.9,44.7,0,,20,11.2,1
9/12/2018,71.6,52.1,61.4,43.3,52.9,0,,19.3,12.4,1
9/13/2018,72.9,51.2,61.8,43.1,53.3,0,,16.9,13.5,1
9/14/2018,80.1,47.5,60.7,41,53.4,0,,17.1,12.2,1
9/15/2018,74,49.1,60.6,41,51.8,0,,20.8,15,1
9/16/2018,76.4,47.9,61,43.2,56,0,,17.2,14.2,
9/17/2018,80.1,47.9,62.4,45.5,58,0,,17.2,12.8,
9/18/2018,78.9,47.8,61.6,43.2,55.1,0,,22.4,13.1,1
9/19/2018,84.8,47.8,64.6,40.1,47.4,0,,19.7,12.8,
9/20/2018,93.8,49.3,67.1,36.8,39.1,0,,17.2,10.3,
9/21/2018,95,48.7,67.8,36.3,37.9,0,,18.3,10.3,
9/22/2018,88.1,46.7,64.5,38.7,43.8,0,,18.3,10.7,
9/23/2018,83.5,49.6,64.9,41.5,49.5,0,,17.2,10.9,
9/24/2018,93.8,48.8,67.3,35.9,39.4,0,,9.2,9.2,
9/25/2018,97.1,48.3,68.4,32.3,36,0,,12.8,9.2,
9/26/2018,100.1,47.1,70.6,31.8,32.6,0,,8.1,6.9,
9/27/2018,98.1,48.8,70.4,36.6,35.6,0,,12.8,10.3,
9/28/2018,78.9,51.7,63.2,47.4,59.3,0,,9.2,9.4,
9/29/2018,63.7,59.8,61.4,52.2,72.3,0.032,rain,21.9,12.9,
9/30/2018,73.4,60.1,65.4,52,64.6,0,,16.1,8.6,
6/1/2020,80.4,56.8,67.5,51.8,59.8,0,,17.2,9.2,1
6/2/2020,93.8,56,73.8,52.2,53.6,0,,15,11.4,1
6/3/2020,97.1,57.7,76.5,53.2,51.2,0,,18.3,14.3,1
6/4/2020,95,57.9,75.3,50.3,47.1,0,,16.1,11.4,
6/5/2020,72.7,54.8,63.5,45.5,53.2,0,,22.4,14,
6/6/2020,67,50.1,58.1,41.9,57,0,,26.7,17,
6/7/2020,65.3,46.6,56.9,40.8,56.7,0,,22.9,15,
6/8/2020,75.6,45.7,60.7,34.9,44,0,,19.5,12.6,
6/9/2020,82.9,48.6,66.4,41.9,43.6,0,,17.5,10.1,
6/10/2020,86.3,51.8,69.8,50.5,54.3,0,,17.2,12.6,
6/11/2020,82.1,57.5,68.8,52.9,59.2,0,,18.9,12.4,
6/12/2020,66.6,56.6,60.1,49.1,67.8,0,,20.3,13.1,
6/13/2020,70.7,54.8,62.1,45.1,55.4,0,,15.5,12.7,
6/14/2020,79.4,53.3,65.4,49.3,59.3,0,,18.3,11.6,
6/15/2020,72,57,63.5,47.7,57.4,0,,24.5,14,
6/16/2020,70.9,53.7,61.9,44.6,54.5,0,,25.3,16.3,
6/17/2020,84.5,48.5,66,41.8,47.7,0,,19.7,13.1,
6/18/2020,95,52.8,73,41.1,40.5,0,,17.2,10.3,
6/19/2020,98.1,56.1,75,46.1,41.7,0,,19.7,13.9,
6/20/2020,95,54.4,72.2,50.1,52.5,0,,25.3,16.1,
6/21/2020,91.1,60,75.1,55,53.1,0,,19.7,10.3,
6/22/2020,101.9,59.6,80.1,54.2,48.6,0,,17.2,11.4,1
6/23/2020,101,58.8,77.8,56.2,52,0,,16.1,11.4,
6/24/2020,95,59,73.8,54.7,54.8,0,,18.3,12.4,
6/25/2020,102.8,62.9,81.3,56.7,48,0,,19.7,13.9,1
6/26/2020,107.1,59.6,80.3,54.3,47.5,0,,20.8,13.9,1
6/27/2020,96.2,55.9,73.5,52.5,52.4,0,,23,15.2,
6/28/2020,74.8,55.4,67.2,44.2,45.4,0,,24.5,15.3,
6/29/2020,80.6,53.6,68.6,43.6,44.7,0,,21.9,8.9,
6/30/2020,90,56.7,71.6,48.2,47.4,0,,17.2,11.4,1
7/1/2020,92.9,54.5,72.4,47.9,47.7,0,,24.2,17.2,1
7/2/2020,91.1,54.4,70.7,48.5,49.7,0,,9.2,13.9,
7/3/2020,90,51.7,68,44.5,52,0,,19.2,12.8,
7/4/2020,92,54.5,72.2,40.3,37.9,0,,20.8,13.9,
7/5/2020,90,53.7,71.1,39.7,37.4,0,,23,17.2,
7/6/2020,77.2,56,66.6,42.9,44.9,0,,24.2,16.1,
7/7/2020,81.5,52,67.2,45.5,48.9,0,,21.9,12.5,
7/8/2020,91.1,53.9,71.5,48.1,48,0,,17.2,11.4,
7/9/2020,92,58,73.4,46.4,42.1,0,,23,15,
